Document ID	Conversation ID	Provider	Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Year	YYYY-MM-DD	HH:MM:SS (UTC+8)	Source & Copyright	Copyright	Tag	Note	Property
79		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
80		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義	加「汝」字粗魯過不加	
81		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義	粗魯過「做汝骨骨」	
82		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
83		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
84		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
85		葉劍飛				fzho						貶義		
86		葉劍飛				fzho						貶義		
87		葉劍飛				fzho						貶義		
88		朱振宇										貶義		
89		朱振宇										貶義		
90		朱振宇										貶義		
91		关彳山			2	mnhu								
92		hf万物@QQ				ygti			18:09:03					
93		hf万物@QQ			15				18:21:35					
94		关彳山				liji								
95		残蕊芳华@QQ												
96		晉安梅客@Weibo												
97		像子影@Weibo												
98		hf万物@QQ										貶義		
99		hf万物@QQ										貶義		
100		葉修齊											叫賣	
101		葉修齊											叫賣	
102		葉劍飛											叫賣	
103		葉劍飛											叫賣	
104		葉劍飛											叫賣	
105		关彳山												
106		关彳山												
107		hf万物@QQ												
14		关彳山												
13		葉修齊												
12		关彳山			37									
11		关彳山												
10		hf万物@QQ												
9		关彳山												
7	13	关彳山			10	fzho,mqig				維基教科書编者. 福州語/會話/第1課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第1課&oldid=123269.	CC BY-SA 3.0			
8	13	关彳山				fzho,mqig				維基教科書编者. 福州語/會話/第1課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第1課&oldid=123269.	CC BY-SA 3.0			
6		关彳山				fzho				維基教科書编者. 福州語/會話/第2課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第2課&oldid=123058.	CC BY-SA 3.0			
5		关彳山			10	mqig				維基教科書编者. 福州語/會話/第2課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第2課&oldid=123058.	CC BY-SA 3.0			
4		关彳山			10	fzho,mqig				維基教科書编者. 福州語/會話/第3課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第3課&oldid=123059.	CC BY-SA 3.0			
3		关彳山				fzho								
1		关彳山				fzho								
2		关彳山				fzho								
